,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2014/8,,2014/11,,2015/02,,2015/05,,2015/08,,2015/11,,2016/5,,2016/8,,,Basic,Technologist,,Developer,,Sales,,,Consultant,,,Architect,,,Project Manager,,,Target,,
No,カテゴリ,,,,,目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,Level,Basic,Basiｃ,Senior,Basiｃ,Senior,Basic,Senior,Principal,Basic,Senior,Principal,Basic,Senior,Principal,Basic,Senior,Principal,Principal,,チェック用リスト
,,,ミーティングのサマリを正確に伝達することができる（決定事項/検討事項/課題）,,,2,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,Basic,×,×,×,×,×,×,×,,○,○,○,×,×,×,×,,,,,
,,課題発生時の対応ができる,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,課題を把握し、正しくエスカレーションすることができる,,,5,5,5,5,5,4,5,4,5,4,5,4,5,3,4,3,4,Basic,×,×,×,×,×,×,×,,○,○,○,×,×,×,×,,,,,
,,,課題に対してどのように対応すべきか支援の目的に従って検討することができる,,,3,3,3,3,3,4,4,4,3,4,4,4,3,3,4,3,4,Intermediate,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,課題に対しての対応を顧客に説明し、納得させることができる,,,1,1,1,1,1,1,1,1,1,2,2,2,1,2,3,2,3,Intermediate,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,上記対応をその場で行うことができる,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Advanced,×,×,×,×,×,×,×,,×,×,○,×,×,×,×,,,,,
,,正しい判断ができる,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,顧客の意思決定の軸を把握することができる,,,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,3,Intermediate,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,,,
,,体系化,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,作成した資料が再利用される,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Intermediate,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,再利用を意識した資料作成ができる,,,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,Intermediate,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,完遂力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,あきらめずに最後までやり遂げようという意思がある,,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,Basic,,,,,,,,,,,,,,,,,,,,
,,,あきらめずに最後までやり遂げることができる,,,5,3,3,4,5,4,5,4,5,4,5,4,5,3,4,4,4,Intermediate,,,,,,,,,,,,,,,,,,,,
,,全体把握力,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,新しい事項の把握をすることができる,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Basic,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,要点を正しく早く理解することができる,,,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,3,3,Intermediate,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,分解能力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,物事を分解することができる,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
,,交渉力,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,既存顧客との交渉ができる,,,3,0,0,0,0,1,2,1,2,1,2,1,2,1,1,1,1,Basic,×,×,×,×,×,×,×,,○,○,○,×,×,×,×,,,,,
,,,新規顧客との交渉ができる,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intermediate,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,困難な状況での顧客との交渉ができる（話がこじれた後、顧客が不満をもっている、落としどころがみつからない・・・etc),,,3,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,Advanced,×,×,×,×,×,×,×,,×,×,○,×,×,×,×,,,,,
,マネージメント,,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,チーム牽引力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,目的を共有してメンバーのやる気を出させる,,,,,,,,,,,,2,3,3,4,3,4,3,4,,,,,,,,,,,,,,,,,,,,,
,,,ゴールに向かってチームを引っ張ることができる,,,,,,,,,,,,2,3,2,4,2,3,3,3,,,,,,,,,,,,,,,,,,,,,
,,作業進捗管理,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,自分の作業を分解することができる,,,5,5,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,Basic,○,○,○,○,○,,,,,,,,,,,,,,,
,,,上位の作業ゴールを理解することができる,,,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Intermediate,○,○,○,○,○,,,,,,,,,,,,,,,
,,,自分の作業の進捗状況を正確に把握できる,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Basic,○,○,○,○,○,,,,,,,,,,,,,,,
,,,作業進捗状況を正確にリーダーに報告できる,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Basic,○,○,○,○,○,,,,,,,,,,,,,,,
,,,作業遅延の理由を説明することができる,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Basic,○,○,○,○,○,,,,,,,,,,,,,,,
